VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee
1,2022-02-01 00:23:12,2022-02-01 00:55:26,1.0,19.7,2.0,N,132,141,1,52.0,3.75,0.5,6.0,6.55,0.3,69.1,2.5,1.25
2,2022-02-01 00:06:41,2022-02-01 00:36:44,1.0,7.78,1.0,N,161,225,1,27.0,0.5,0.5,5.0,0.0,0.3,35.8,2.5,0.0
2,2022-02-01 00:06:41,2022-02-01 00:35:11,1.0,11.66,1.0,N,138,189,1,35.0,0.5,0.5,5.63,0.0,0.3,43.18,0.0,1.25
2,2022-02-01 00:01:52,2022-02-01 00:11:35,1.0,4.13,1.0,N,138,92,2,13.5,0.5,0.5,0.0,0.0,0.3,16.05,0.0,1.25
2,2022-02-01 00:23:17,2022-02-01 00:46:49,1.0,11.6,1.0,N,138,50,1,33.5,0.5,0.5,9.02,6.55,0.3,54.12,2.5,1.25
2,2022-02-01 00:37:25,2022-02-01 00:40:16,1.0,0.9,1.0,N,68,48,1,4.5,0.5,0.5,1.66,0.0,0.3,9.96,2.5,0.0
1,2022-02-01 00:20:06,2022-02-01 00:23:46,1.0,0.6,1.0,N,144,79,1,4.5,3.0,0.5,1.65,0.0,0.3,9.95,2.5,0.0
1,2022-02-01 00:32:32,2022-02-01 00:51:46,1.0,3.8,1.0,N,148,48,1,15.5,3.0,0.5,3.85,0.0,0.3,23.15,2.5,0.0
2,2022-02-01 00:18:50,2022-02-01 00:35:25,1.0,5.4,1.0,N,137,80,1,18.5,0.5,0.5,5.58,0.0,0.3,27.88,2.5,0.0
2,2022-02-01 00:50:51,2022-02-01 00:50:53,1.0,0.0,5.0,N,264,264,1,15.0,0.0,0.0,3.82,0.0,0.3,19.12,0.0,0.0
2,2022-02-01 00:47:26,2022-02-01 01:00:13,1.0,7.66,4.0,N,132,265,1,25.0,0.5,0.5,0.0,0.0,0.3,27.55,0.0,1.25
1,2022-02-01 00:16:30,2022-02-01 00:41:12,0.0,13.8,1.0,N,132,155,2,39.5,1.75,0.5,0.0,0.0,0.3,42.05,0.0,1.25
1,2022-02-01 00:23:24,2022-02-01 00:32:32,1.0,1.6,1.0,N,244,152,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,0.0,0.0
1,2022-02-01 00:46:07,2022-02-01 01:02:47,1.0,7.1,1.0,N,238,69,1,22.0,0.5,0.5,1.0,0.0,0.3,24.3,0.0,0.0
2,2022-02-01 00:27:56,2022-02-01 00:54:44,1.0,17.79,1.0,N,132,49,1,48.0,0.5,0.5,10.11,0.0,0.3,60.66,0.0,1.25
2,2022-02-01 00:35:22,2022-02-01 01:10:03,2.0,22.26,1.0,N,132,181,1,60.0,0.5,0.5,8.0,0.0,0.3,70.55,0.0,1.25
2,2022-02-01 00:23:55,2022-02-01 00:48:11,4.0,5.81,1.0,N,186,25,1,20.5,0.5,0.5,4.86,0.0,0.3,29.16,2.5,0.0
